date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000106,-0.0033469,-0.0033525,4.84e-05,-0.0236594,-6e-06,0,-0.0001704,0,-3e-06,0,-1.23e-05,4.89e-05,0,0.0001078,0,0,-4.99e-05,0,0,0,0,5.92e-05,0,1.01e-05,7.47e-05,0.0002969,7.96e-05,0.0002852,4.2e-06,-6.82e-05,3.67e-05,0,0,-0.0001077,0,0,0,0,-0.0001266,0,0,0.0001048,-3.48e-05,4.08e-05,0,7.81e-05,0,-0.0001312,0,-0.0009171,8.59e-05,0,7.63e-05,-2.16e-05,0,0,4.99e-05,-4.52e-05,3.4e-05,-5.49e-05,0,0,3.85e-05,0,0,0,-0.0001213,0,0,0,-1.18e-05,0,0,3.04e-05,0,0,0,0,-0.0001405,0,0,0.0001233,-3.42e-05,0,0,-0.0001254,0,0.0001008,0,0,0.000107,0,-0.0001035,0,0,4.3e-05,0,0,0,-0.0001901,0.0002222,0.0001237,9.93e-05,0
20000107,-0.0081044,-0.0114899,5.4e-05,-0.2956196,-7.38e-05,-8.2e-05,-9.4e-05,-0.0003866,0,0,-0.0001121,-3.57e-05,0,-0.0003718,-2.3e-06,0,0,-0.0001189,0,8.13e-05,0,-7.07e-05,-0.0001176,-5.79e-05,3.6e-06,0.0003184,0,0,0,-2.15e-05,-5e-07,0,0,0,0,-0.000201,-7.69e-05,0,0,0,-5.6e-05,0,-3.16e-05,8.86e-05,-8.74e-05,9.01e-05,0,0,0,-0.0001036,0,0,0,0,0,0,0,2.82e-05,1.3e-06,6.72e-05,0,-0.0004634,0,0,-0.0002274,-1.44e-05,0,-2.39e-05,3.9e-05,0,0,-6.88e-05,0,-0.0002179,0,6.58e-05,-0.0001122,0.0002966,0,-1.99e-05,-0.0002322,0,0.0001232,0,0,0,-1.69e-05,0.0002843,2.6e-06,0,0,0,0,1.64e-05,0,1.1e-06,0,0,0.0003011,0,9.34e-05,0,0,0
20000110,0.0054581,-0.0060467,3.83e-05,-0.2692744,0,0,0,-4.44e-05,2.01e-05,0,0,5.93e-05,0,2.87e-05,0,2.32e-05,0.0002169,-3.28e-05,9.05e-05,0,0,0,0,0,0,-3.59e-05,0,0,0,-0.0001392,0,0,0,0,9.1e-05,-4.52e-05,0,0,4.18e-05,0,3.92e-05,0,3.22e-05,0,0,1.69e-05,0,-1.25e-05,-0.0002129,-0.0001059,1.73e-05,0,0.0001324,0,6.75e-05,0,0,0,1.55e-05,0,-1.79e-05,0,0,0,8.2e-05,0,0,0,0,0,0,0,0,-0.0001616,0,0,0,0,-0.000127,0,-0.0001826,0,-0.0005518,-0.000271,0,0,0,0,6.89e-05,0,1.74e-05,3e-05,0,2.68e-05,6.4e-06,0,0.0002733,-0.0001586,0,0,-0.0003287,5e-07,0,0
20000111,0.0077659,0.0016892,3.56e-05,-0.2704502,0,2.64e-05,1.67e-05,0,-2.86e-05,-7.51e-05,0,-2.09e-05,0,2.94e-05,-2.62e-05,0,0,0,-3.98e-05,0,0,-5.35e-05,0.0001629,-5.13e-05,0,0,0,0,0,9.73e-05,0,-6.59e-05,-0.0001255,-1e-07,0,0,0,-2.66e-05,-9.6e-06,0,0.00012,0,0,0,-2.7e-06,0,0,0,0,0,-3.75e-05,0,9.31e-05,7.3e-06,0,1.34e-05,-2.58e-05,0,0,4.8e-06,-3.4e-05,0,0,-6.25e-05,-0.0003371,0,0,-1.71e-05,4.45e-05,0,-6e-07,-4.65e-05,-6e-07,0,8.78e-05,0,0,0,-2.85e-05,-0.000516,0,0,-0.0003609,-5.1e-06,0,0,0,0,0,1.87e-05,6.95e-05,-0.000115,0,-9.97e-05,0,0,0.0003486,-4.57e-05,0,-4.7e-06,0,0,0.0001405,1.87e-05
20000112,0.0014767,0.0031648,3.96e-05,0.0399282,3.64e-05,-5.56e-05,0,0,0,1.54e-05,0,0,8.6e-05,-2.5e-05,-1e-05,-2e-05,-9.97e-05,5.33e-05,0,2.41e-05,-4.34e-05,-0.0001256,0,0,-5.02e-05,-1.67e-05,2.57e-05,0,6.11e-05,0.0002132,0,0.0001756,-5.33e-05,-1.01e-05,2.8e-05,-1.61e-05,0.0001572,0,-4.03e-05,0,0.0001183,0,-7.5e-06,0,0,0,-4.29e-05,-6.99e-05,0,7.44e-05,0,-2.56e-05,3.12e-05,1.31e-05,3.3e-05,0.0001045,0,-4.03e-05,-1.78e-05,0.000239,-5.85e-05,-6.16e-05,0,0,1.15e-05,2.21e-05,0,0,0,-4.83e-05,0,-6.63e-05,0,-0.0001557,0.0001028,0,0,0,0,-0.000247,0,-0.0001192,0.0004131,-3.39e-05,0,0,-4.93e-05,-4.46e-05,-8.29e-05,0,1.25e-05,0,0,0,0,0,0,-4.38e-05,0,0,0,9.8e-06,-3.94e-05,-8.26e-05
20000113,0.00763,0.0107659,3.95e-05,-0.0874267,0.0001213,0,0,0,0,7.61e-05,0,5.55e-05,5.61e-05,0,9.4e-06,0,-1.1e-06,0,0,0,4.24e-05,-4.7e-05,0,6.9e-05,-8.6e-05,0,0,4.71e-05,0,0,5.45e-05,0,9.96e-05,7.39e-05,0,0,6.66e-05,0,-4.29e-05,7.11e-05,0,0,0,-0.0001725,7.8e-06,0,2.23e-05,0,0,0,8.85e-05,6.85e-05,0,0,-4.12e-05,0,7.22e-05,0,0,0,4.6e-06,5.4e-05,0,3.23e-05,7.15e-05,0,0,7.37e-05,-6.44e-05,0,-0.0001076,-2.52e-05,0,0,0.0002349,2.43e-05,0,-0.0001328,0,0,0,-0.0003429,-0.0002629,3.89e-05,0,0,-7.6e-05,0.0001043,-4.2e-05,-3.51e-05,0,3.23e-05,0,2.6e-06,0,2.88e-05,0,0,-0.0005477,-4.18e-05,-8.05e-05,0,0,0
20000114,-0.0170591,-0.0064404,5.37e-05,-0.2327896,0,0,-1.53e-05,-7.01e-05,0,-4.33e-05,0,0,0,9.3e-06,0,4.65e-05,0,0,0,0,0,0,0,0.000178,9.68e-05,0.0002992,0,-9.38e-05,0,-9.84e-05,0,4.09e-05,6.08e-05,0,4.46e-05,0,0,0,0,0,0,0,1.34e-05,0,0,0,0,0.0002096,0,0.0001616,-7.2e-05,0,-1.93e-05,3.58e-05,-3.08e-05,0,1.02e-05,0,9.7e-06,0,0,-2.39e-05,0,0,0,3.51e-05,0.0003537,6.82e-05,-6.13e-05,-3.38e-05,0,-0.000295,1.19e-05,-0.0002245,8.35e-05,0,1.9e-06,-0.0003234,-9.69e-05,-1.2e-05,-0.0002158,6.05e-05,-5e-06,0,0,-4.77e-05,0,8.82e-05,0,0,0,0,-1.78e-05,0,0,4.69e-05,0,-0.0002716,-0.000454,-4.59e-05,-0.0007404,9.48e-05,0,0
20000118,-0.0068299,-0.0132937,4.15e-05,-0.2286605,0,0,-1.51e-05,-8.66e-05,-7.6e-06,0,-3.8e-06,0,3.15e-05,0,-2.9e-05,0,0,0,6.82e-05,0,-3.06e-05,-4.4e-05,-0.0001269,0,0,0,-2.4e-06,-5.55e-05,-5.44e-05,0,0,0,4.79e-05,0.0001191,0,9.18e-05,6.9e-05,-3.27e-05,-0.0001385,0,-8.42e-05,0,0,-0.00015,0,7.77e-05,0.0002234,1.12e-05,0,5.8e-05,0,0,-3.37e-05,-6.01e-05,5.84e-05,0,0,-1.3e-06,-5.4e-06,0.0001324,0,9.38e-05,0,0,0,-1.93e-05,0,0,-0.0001131,-3.33e-05,0,-6.3e-06,-4.04e-05,0,-0.0002376,0,0,-0.0001916,8.36e-05,0,-8.89e-05,-6.35e-05,0,0,2.72e-05,0,0,0.0001167,2.35e-05,0.0001508,7.73e-05,-0.000224,3.72e-05,0,0,-9.89e-05,0,0,-0.0004675,0,0,0,0,0
