date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000106,0.0071599,0.0071344,0.0012637,0.066067,0.0003805,-0.0013491,-0.0001674,-0.0014278,-1.81e-05,-0.0010523,4.63e-05,0.0001561,0.0020007,0.001258,-3.49e-05,0.0002559,0.0013173,-0.0008492,0.0010977,0.000674,-5.82e-05,-0.0034735,0.0036522,0.0014328,-0.0004021,-0.0012606,0.0019145,-0.0048563,-0.0002101,-0.0022193,-0.0010079,0.0001903,0.0010227,-0.0002907,0.0016046,0.0004511,-0.0008335,0.0010916,-0.0005366,0.0014074,-0.0004443,-0.0013298,-0.0001391,0.0016309,-8.92e-05,-0.0009832,-0.0002219,7.23e-05,-0.0012908,0.0037311,0.0001956,-0.0017607,0.0006627,-0.0001114,-0.0002669,-0.0011924,-0.000807,0.000325,-2.8e-06,-0.0019245,-0.0003295,0.0001881,0.0003061,0.002894,0.0010506,0.0008503,0.0064393,0.002678,-0.0004596,-0.0008611,-0.0014596,-1.18e-05,0.0004364,-0.0024615,-0.0004571,0.0023252,0.0073613,0.0104843,-0.0023609,-0.0014129,0.0002206,0.0019528,-0.0033417,1.25e-05,-0.0014367,-0.0002158,0.000716,-0.0018021,-0.0012344,0.0010489,0.0004899,-0.0004955,-0.0017353,-0.0024458,-0.0001179,-0.0004343,-0.0002778,-0.0009986,0.0002868,-0.0003063,-0.0015438,-0.00112,-0.0010805,0.0010489
20000107,-0.0005131,0.0066212,0.001646,-0.0199371,-1.37e-05,-0.0004345,0.0019505,0.00025,-0.0007314,-0.0013624,0.0002367,-0.0001604,0.003569,0.0028468,-0.0008964,-0.0002812,0.0043241,0.001056,0.0015469,-0.0015815,-8.76e-05,-0.0024283,0.000703,0.0023488,-4.12e-05,0.0013327,0.0013546,-0.0081713,3.11e-05,0.0017717,-0.0011721,-0.0013721,-0.0009842,0.0016964,0.0017874,0.0004809,0.0017802,-0.0001136,-0.0038472,0.0002267,-0.0071498,0.0005485,0.0010956,-0.0008258,0.0003373,-0.0002614,-0.0007578,-0.0016941,-0.0009189,0.0043839,-0.0005482,-0.0012338,-4.03e-05,-1.59e-05,0.000334,0.0002555,-0.0006239,0.0011419,-0.0006364,0.0039756,-0.0007172,-0.0017845,-0.0015057,0.0025931,0.0009426,2.42e-05,0.0066194,0.0001874,-0.0012251,-6.8e-05,0.0003414,0.0010667,-0.0003059,-0.0074,0.0006216,0.0026769,0.005619,9.16e-05,-0.0012113,-0.0024513,-0.0063103,0.0034785,0.0049111,0.0070954,-0.0001687,3.55e-05,-0.0009667,-0.0002026,-0.0014219,0.0008239,0.0001021,-0.0004885,-0.0020509,-0.0016594,0.0009426,-0.0031208,-0.0007315,0.000102,-0.0052005,-0.0010553,-0.0044526,0.0001956,-0.0010579,0.0008239
20000110,0.0002291,0.0068503,0.0016645,0.1175208,-0.000621,-0.0009932,0.0037959,-0.0012625,-0.0011612,-0.0002339,-0.0011316,-0.0010835,-0.0008127,2.58e-05,-0.0015335,-0.0010174,-0.0001289,0.0011818,0.0043561,-0.0050376,0.000485,0.0052847,-0.0007752,-0.0002593,-0.0040458,-0.0025955,-1.1e-05,-0.0021136,-0.0008769,0.002166,-0.0007938,0.0018001,6.45e-05,-0.000328,0.0002655,0.0003477,-0.0006577,-0.001157,-0.0012222,-0.0003671,-0.0021806,-0.0001242,-0.0003111,-0.0010692,0.0025984,-0.0006751,0.0022828,-0.0004855,0.000797,0.0025819,-9.83e-05,0.0003752,-0.0010283,-0.0010492,0.0002327,-0.0005173,-0.0006853,-0.000972,-0.0013751,0.0025516,-0.0009901,-0.0007563,-0.0004094,-0.0008843,0.0013724,-0.0009672,0.0107452,-0.0006854,0.0028121,-0.0003203,0.0023528,0.0004718,-0.000966,0.0006857,-0.000165,0.0012349,0.0038103,-0.0020276,-0.0011743,-0.0032543,-0.0005914,0.0118872,0.00023,-0.0011839,4.66e-05,-0.0023809,-0.001917,0.0039342,-0.0013685,0.0019316,-0.0013284,-0.0004727,-0.001529,1.1e-05,0.0082109,-0.0026955,-0.0013113,-0.0003694,-0.0048735,-3.01e-05,0.0031133,0.0028583,0.0041714,0.0019316
20000111,-0.000652,0.0061981,0.0015772,0.0479377,-0.0005079,-0.0022885,0.0004857,-0.000189,-0.001005,0.0014346,-0.0012338,-0.0004056,-0.0010796,0.000205,-0.0006192,-0.0007431,-0.0007058,-0.0004612,0.0012209,0.0009429,-0.0004982,0.0035831,-0.0037655,-0.001491,-0.0021945,-0.0028169,-0.0012465,0.0068686,-0.0019623,0.0001877,-0.000916,-0.0008612,0.0040595,-0.0003715,-0.0007851,-0.0005015,-0.002843,-0.0005629,0.000492,-0.0014233,0.0021118,0.0001862,-9.81e-05,0.000149,0.0002925,-0.0005364,0.0002916,0.0001068,-0.0014204,0.0013027,0.0001172,0.0024395,7.96e-05,-0.0009529,-0.0061319,-0.0005519,-0.0003081,-0.0008003,-0.0007889,0.0013645,-0.0010936,0.0029887,-0.0001769,0.0024705,0.000619,-0.0007317,0.0064582,-0.0008851,-0.0005203,-0.0008674,0.0002702,-0.0011458,-0.0007743,0.0029282,-0.0015737,-0.0005922,0.0034909,-0.0004891,-0.0010114,0.0013375,-0.002161,0.0027003,7.32e-05,-0.0017945,0.0017525,-0.0020714,-0.0045759,0.0023524,-0.0005089,0.0023184,0.0001186,0.004306,-0.0047446,0.0005568,0.005759,0.0058378,-0.0003667,-0.0014978,-0.0026774,-0.0017524,0.0036402,0.0010348,0.0013864,0.0023184
20000112,-0.0101546,-0.0040084,0.0012295,-0.036537,1.47e-05,-0.0019625,0.0007576,0.0009973,9.8e-06,0.0023721,0.0001333,0.0006682,3.9e-05,-0.0013521,0.0006129,0.0002932,0.0007852,0.0001287,-8.73e-05,0.0019627,0.0002194,-0.0007674,-0.0001361,-0.0004145,-0.0006038,-0.0020381,-0.0006893,0.0073085,-0.0008277,-8.52e-05,-0.0002147,-0.0025008,-0.0013215,0.0005166,6.09e-05,0.0002303,-6.86e-05,0.0001694,-0.0001148,-0.0004682,0.0008664,-0.0007245,0.0007658,0.0020233,2.39e-05,0.0012077,-0.0004865,0.001358,-0.0005055,0.0027197,0.0018763,0.0001145,0.0027018,0.0006433,-0.0028683,0.0025938,-6.83e-05,0.0009285,0.0005561,0.0003211,2.92e-05,0.0014657,-0.0005384,0.0003168,0.0004946,0.0003748,0.002295,0.0003336,0.000119,-0.0002505,-0.0003547,-0.0001326,0.0004303,0.000887,2.45e-05,-0.0008327,0.0005626,0.0018963,0.000847,0.0010796,-0.0016506,-0.0083259,-0.0003147,-0.0019001,0.0006877,0.0002551,-0.0011842,-0.0017561,-0.0002354,-0.0027899,0.0012365,0.0029169,-0.0005283,-0.0007252,0.0029885,0.0002709,-0.0023063,-0.0035622,-0.0120162,5.47e-05,0.0036838,-0.0029239,-0.0002992,-0.0027899
20000113,-0.0144847,-0.018599,0.0009699,0.1096705,-0.0003373,-0.0004346,0.0004116,0.0018231,-0.0001067,-0.0007575,0.0007253,0.0005449,3.84e-05,-0.0019199,0.0001135,-0.0002548,2.82e-05,0.0007495,-0.0013633,0.0004573,-0.0002639,-0.0004128,0.0002016,-0.0003593,0.0028875,-0.0005941,0.0003084,0.0037444,0.000505,-0.0014931,0.0028974,-0.0001422,-0.0019016,-0.0006992,-0.0007095,0.0004492,0.0011514,0.0006749,0.0001109,-0.0001397,0.000469,-0.0013653,-0.0003721,0.0008798,0.000492,0.0001068,-8.17e-05,0.0004568,3.33e-05,0.0009464,0.0041949,-0.0008864,0.0006852,0.000149,-0.0006319,0.0030542,-0.0004984,0.0001455,-0.000277,-0.0006327,-0.0001949,-0.0011174,-0.000388,-0.0003553,0.0005196,0.0002337,0.0002484,0.0001084,0.0001314,0.0006873,-0.0004283,-0.0006393,6e-05,0.0005117,-0.000581,-0.0007608,-0.0009875,0.0012845,-0.0010955,0.0013356,-0.0004966,-0.0014599,0.0013014,-0.0021032,-4.43e-05,-3.06e-05,0.0001039,-0.0010333,-4.06e-05,-0.0013701,-0.0012731,-0.0005567,0.003153,-0.0001708,-0.0023065,-0.0012816,-9.3e-05,-0.002601,0.0122153,0.0001793,0.0023026,-0.0030562,-0.0007047,-0.0013701
20000114,-0.0060251,-0.0246423,0.0015125,0.1205895,0.0002709,0.0015109,-0.0015287,-0.0023225,-0.0012014,-0.0028427,-0.0007748,-0.0009463,-2.02e-05,-0.0018285,-0.0020454,-0.0009111,-0.0011473,-0.0006078,-0.0001389,-0.0005269,-0.0005753,-0.0004982,-0.0019064,-0.0016593,0.002511,-0.0018768,-0.0004235,0.0041868,0.0003864,0.0013054,-0.0005477,-0.0006705,-0.0003389,-0.0009206,-0.0009155,0.0003458,-0.0004544,-0.0004751,-0.0012912,-0.0007645,0.0069295,-0.0014381,-0.001192,-0.0011592,0.0004895,-0.0006221,-0.0005568,0.0015821,-0.0013674,-0.0016727,0.0002302,-0.000756,0.000579,-0.0013774,0.0001413,0.0084781,-0.0006938,-0.0015521,-0.001064,0.0016178,-0.0026929,-0.000616,-0.0002315,7.99e-05,-0.0003781,-0.0009433,0.01199,-0.00079,-0.0009878,-0.0002647,-0.002586,0.0002679,-0.0007424,0.0016947,0.000262,0.0021708,0.0042455,-0.0001915,-0.0024605,-0.0010581,0.0023438,0.010445,-0.0020023,-0.0003834,-0.0005017,-0.0005251,-0.0006802,0.0021575,-0.0014498,0.0020366,0.001025,-0.0012426,0.0011121,-0.0007131,0.000112,0.0013621,-0.0001276,-0.0007629,0.0037025,-0.0004692,0.0029207,0.004216,-9.33e-05,0.0020366
20000118,0.0046054,-0.0200474,0.0015558,0.1386016,0.0050872,0.0025122,-5.59e-05,-0.0006894,-0.0006613,-0.0007327,-0.0010627,-0.0003489,-0.0012326,0.0003661,-0.0002937,-0.0002581,-0.0017229,-0.0017781,0.0011116,-0.0007815,-0.0003114,5.51e-05,-0.0012973,0.000226,0.0006348,0.0020005,5.64e-05,0.0149489,-0.0009254,0.0038802,-0.0024592,-0.0001806,-0.0106923,-0.0002472,-0.0008273,-0.0008985,-0.0002138,0.0008473,-0.0001616,-6.54e-05,-2.03e-05,-0.0006312,-0.0005905,-0.0003708,-0.000199,-0.0013285,-0.0016655,-0.0029507,0.0047741,-0.0021015,-0.0006741,-0.0010042,0.0003667,-0.0004518,0.0008559,0.0027707,-0.0005986,-0.0021704,-0.0009224,0.0004915,-0.000989,-9.9e-05,-0.0015614,0.0002177,-0.0006936,-0.0006287,-0.0005265,-0.0008682,5.3e-05,0.0025021,-0.0021343,-0.0015002,-0.0004302,0.0011805,0.0001657,0.0065951,-0.0043648,0.0015468,-0.000918,0.0013323,0.0012056,0.002302,-0.001648,-0.0039587,0.0001883,-0.0007462,0.0001579,-0.0003575,-0.0001204,-3.05e-05,-0.0008927,0.0004671,0.0108661,-0.0003592,0.0005248,0.000301,0.0005935,0.010525,0.001016,-0.0003947,0.004623,0.001222,-0.0001779,-3.05e-05
