date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000106,0.0125312,0.0124533,0.0001642,0.1747873,1.7e-05,-0.0001906,2.87e-05,-0.000101,0.0001976,-2.09e-05,-0.0001155,0.0002014,0.0001077,-0.0003728,0.0001823,0.0001939,-4.79e-05,-5.33e-05,5.46e-05,0.0001937,7.86e-05,-0.000229,0.0003148,0.0002475,-0.0001736,-6.77e-05,0.0001901,-0.0002451,9.83e-05,0.0006009,3.92e-05,0.0002073,4.95e-05,0.0001234,0.000133,-3.8e-05,-0.0002237,0.0001561,-0.0001582,0.000265,1.76e-05,-0.0001983,-4.8e-05,3.89e-05,-7.87e-05,0.0002878,6.33e-05,-3.77e-05,-0.0002851,-0.0001075,2.01e-05,-9.48e-05,0.0002149,4.7e-05,0.000153,-0.000234,3.75e-05,-4.2e-06,0.0002139,-0.0001606,6.61e-05,-5.28e-05,0.0001664,0.0004165,0.0001553,0.0002066,-5.16e-05,0.0001903,0.0001179,0.0001499,-4.83e-05,0.0002991,0.0001446,-0.0001579,-6.48e-05,-0.000113,0.0005573,0.0011429,6.89e-05,-0.0001303,-0.000337,-9.53e-05,0.0003011,0.00023,-3.49e-05,0.0001222,8.9e-06,-0.0003851,-5.8e-05,-0.0002808,0.0001675,-5.74e-05,-0.0002713,-0.000191,1.3e-06,-3.2e-06,-6.94e-05,-3.24e-05,-0.0003148,0.0003554,-0.0001166,-0.0001554,-0.000185,-0.0002808
20000107,0.011507,0.0238946,0.0001669,-0.1974244,5.5e-05,-8.64e-05,-0.000244,-0.0001424,-0.0001099,-0.000131,3.32e-05,-9.9e-06,0.0003227,0.0002107,-6.81e-05,-1.62e-05,0.0001692,-7.14e-05,7.9e-05,5.3e-06,-6e-06,-0.0002315,0.000276,0.0001485,7.77e-05,0.0001033,7.08e-05,-0.0004449,-5.69e-05,-0.0005872,-0.0001646,-0.0001936,9.24e-05,-0.0002258,0.000292,5.97e-05,-1.76e-05,7.79e-05,-0.0001743,6.52e-05,0.0002315,-4.33e-05,6.88e-05,0.0002541,3.26e-05,-0.0002521,4.63e-05,-1.75e-05,-0.0002611,-0.000123,7.46e-05,-9.79e-05,9.89e-05,-5.34e-05,-0.0001147,-5.37e-05,-0.0001277,-2.71e-05,-7.66e-05,-0.0003573,-9.01e-05,-0.000558,-5.51e-05,0.0004814,2.66e-05,7.17e-05,0.0006301,0.0002096,-0.000139,-0.0001832,-0.0001905,-0.0001081,4.6e-06,-0.0004206,2.37e-05,0.0003497,0.0004648,0.0001175,-0.0003077,-0.0002141,-4e-05,0.0005298,-0.0009193,-0.0006898,-9.72e-05,-0.0001807,1.69e-05,6.52e-05,-0.0001247,0.0001666,0.0001142,-2.78e-05,-0.0001596,-0.0001384,0.0001004,-2.35e-05,0.0001037,-0.0001807,-0.00029,-0.0002652,2.81e-05,1.05e-05,6.93e-05,0.0001666
20000110,-0.0078342,0.0160296,0.0002043,0.1143222,-8.67e-05,-6.96e-05,0.0002568,-0.0002397,-3.67e-05,-0.0001193,-8e-05,-3.39e-05,0.0002105,-5.72e-05,-7.85e-05,-5.9e-06,0.0002654,9.23e-05,0.0003062,-0.0002062,-2e-07,-0.0004797,-0.0001625,0.0001403,-2.27e-05,0.0012121,7.84e-05,-0.0003412,3.52e-05,0.0004367,-4.88e-05,0.0003387,-0.0002646,0.0001517,0.0001372,-9.89e-05,0.0001018,-5.28e-05,-0.0003021,2.62e-05,-0.0005697,8.2e-05,3.48e-05,-0.0001306,-1.49e-05,0.0001348,-2.53e-05,-0.0002386,4.99e-05,7.03e-05,-0.0001351,-0.0001153,-2.33e-05,4.73e-05,0.0001368,5.5e-05,4.49e-05,0.0001415,-3.68e-05,0.0006437,3e-07,-0.0004211,-0.0001417,4.5e-06,-0.0001183,-2.31e-05,0.0007223,-9.6e-05,-0.0002517,1.85e-05,6.35e-05,0.0001018,-4.92e-05,-0.0007727,0.0008883,0.0001427,0.0002307,-3.29e-05,-0.0001214,-0.0002155,-0.0006053,0.0008861,0.0011282,0.0009784,5.71e-05,-2.31e-05,-0.0001699,0.0003127,-9.46e-05,-1.79e-05,4.25e-05,-0.0002541,-1.63e-05,-0.0001791,0.0003784,-0.0001861,-4.75e-05,6.8e-06,-0.0004165,4.56e-05,-0.0004774,0.0001436,-0.0002212,-1.79e-05
20000111,-0.0075223,0.0084788,0.0001897,-0.0129933,-1.51e-05,-0.000162,0.0002306,-0.0003826,-0.0001665,3.05e-05,-0.0001177,-7.22e-05,-0.0001533,-8.17e-05,-8.18e-05,-0.000132,-1.8e-05,3.74e-05,0.0002737,-0.0007624,7.74e-05,0.0004626,-0.0003276,-0.0001304,-0.0002885,-0.000238,-6.61e-05,1.11e-05,-0.0002162,4e-06,-2.67e-05,0.0002131,0.0002358,-0.0001776,5.38e-05,-1.34e-05,-0.0001469,-8.65e-05,-1.7e-06,-6.65e-05,-3.56e-05,-8.54e-05,-4.39e-05,-2.99e-05,-4.4e-05,-0.0001704,0.000268,7.42e-05,-1.86e-05,0.0001182,5.1e-05,9.45e-05,-7.91e-05,-8.23e-05,6.21e-05,-0.0001732,-0.0001411,-0.0001643,-0.0001868,0.0002765,-0.0001636,-0.0001465,-6.3e-06,-0.0002621,0.0002374,-0.0001193,0.0011119,-4.83e-05,0.000383,-0.0001174,0.0002029,-1.7e-06,-7.05e-05,0.0003744,-5.31e-05,1.95e-05,0.0001632,-8.05e-05,-0.0001734,0.0001147,8.23e-05,0.0013091,-0.0001933,-0.0002713,-8.1e-05,-0.0003312,-0.0004482,0.0003735,-0.0001011,0.0001907,-0.0002004,4.26e-05,-0.0003947,7.92e-05,0.0008848,-0.000596,0.000327,-0.0002027,-0.0003329,-2.85e-05,0.0002071,0.0002439,0.000251,0.0001907
20000112,-0.0046702,0.0037977,0.0001745,-0.0393372,-3.8e-05,-0.0002809,-2.95e-05,0.0001213,-7.63e-05,7.17e-05,-6.8e-05,-9.5e-06,-6.84e-05,0.0001271,-5.38e-05,-8.03e-05,5.29e-05,-0.0001009,-1.21e-05,0.00031,-0.0001119,0.0001614,-0.0003282,-0.0001978,-7.53e-05,-0.000217,-0.0001637,0.0007967,-0.0001954,2.8e-05,-9.49e-05,-0.0002674,0.0004367,2.18e-05,-0.0001212,-6.15e-05,-0.0002328,-4.78e-05,7.69e-05,-0.0002123,0.0002327,9.29e-05,5.7e-06,-4.17e-05,-0.0001174,-1.83e-05,-0.0001604,-4.48e-05,-7.96e-05,1.96e-05,-4.18e-05,0.0003231,0.0002653,-1.45e-05,-0.0004156,7e-06,-1.8e-05,-6.12e-05,-1.63e-05,9.27e-05,-0.0001321,0.0002084,-8.6e-06,0.0003592,-0.0001986,-5.38e-05,8.87e-05,-7.73e-05,-0.0001982,-8.75e-05,-4.19e-05,-0.0002389,-5.05e-05,0.0004455,-0.0001096,-1.64e-05,0.0001355,-2.43e-05,-0.0001189,-7.68e-05,-0.000428,-0.0010783,-1.27e-05,-0.0001228,0.0003243,1.83e-05,-0.0003658,0.0003379,3.14e-05,0.0002874,0.0001544,0.0005537,-0.0002969,-1.79e-05,0.0003559,0.001054,0.0003407,-0.0003146,-0.0005417,-0.0002357,-4.69e-05,9.93e-05,5.73e-05,0.0002874
20000113,0.0073931,0.0111636,0.0001483,-0.0519308,6.43e-05,-0.0001282,0.0001844,-7e-07,6.3e-05,0.0001926,8.35e-05,0.0001073,8.11e-05,-0.0002434,8.56e-05,2.42e-05,5.36e-05,0.0001068,-1.02e-05,0.000112,5.25e-05,-0.0001567,0.0001786,1.77e-05,-0.0001077,-0.000185,-7.6e-06,0.0002944,3.3e-06,0.0001941,0.0001087,-5.29e-05,-0.0002355,4.75e-05,8.28e-05,5.07e-05,0.0002577,3.74e-05,-5.5e-05,2.02e-05,7.94e-05,-0.0001196,0.0001089,0.0002769,0.0001151,0.0001753,-3.46e-05,0.0001172,4.39e-05,0.0003476,0.0004626,-6.99e-05,0.0002821,0.0001299,-1.5e-05,0.000492,2.13e-05,9.48e-05,8.69e-05,8.64e-05,-1.55e-05,-5.4e-06,1.29e-05,-6.47e-05,6.24e-05,9.53e-05,3.96e-05,6.7e-05,0.0001407,-5.89e-05,-2.69e-05,2e-07,9.18e-05,-5e-05,9.24e-05,-2.28e-05,3.92e-05,2e-04,-0.000186,-0.000289,-0.0002892,-0.0003436,9.62e-05,-0.0001557,-1.9e-05,6.25e-05,-5.81e-05,-0.0001171,-0.0001064,-0.0002455,0.0001939,0.0001657,3.48e-05,-0.0001641,6.2e-06,-0.0001359,-0.0001151,-0.0005703,-0.0027234,-4.55e-05,0.0002032,-0.0002658,-5.67e-05,-0.0002455
20000114,0.0036048,0.0147619,0.0001187,0.0090345,6.1e-05,4.6e-06,3.29e-05,-0.0001625,1.57e-05,-0.0001778,0.0001278,8.46e-05,3.94e-05,-0.0003246,-2.48e-05,1.59e-05,-4.01e-05,5.78e-05,-0.0001532,5.22e-05,-5.07e-05,-1.31e-05,-2.56e-05,-1.12e-05,0.0003221,4.9e-06,7.13e-05,0.0002511,0.0003497,-0.0002984,0.0002361,9.13e-05,-3.23e-05,-7.73e-05,-0.0001478,1.4e-05,0.0001175,0.0001063,1.1e-05,1.26e-05,0.0003152,-0.0001542,-8.78e-05,-0.0002351,8.58e-05,-3.22e-05,1.29e-05,3.19e-05,8.1e-06,9.98e-05,0.0004431,-3.63e-05,0.0001287,4.6e-05,-7.62e-05,0.00058,1.34e-05,-1.21e-05,-2.2e-05,-2.44e-05,-6.83e-05,-0.0001568,-6.04e-05,1.82e-05,0.0001001,4.11e-05,4.02e-05,2.77e-05,-9.53e-05,0.0002304,-0.0001092,-9.87e-05,3.94e-05,-3.39e-05,-1.53e-05,-9.82e-05,-0.000216,-9.48e-05,-0.0002147,0.0003135,-0.000471,-0.0001742,-6e-06,-9.8e-05,7.05e-05,8.4e-06,-2.7e-05,1.3e-06,-1.71e-05,-4.93e-05,-0.00034,-0.0001133,0.0002464,3.19e-05,-0.0004337,-7.86e-05,1.62e-05,2.01e-05,0.0009054,-4.95e-05,3.4e-05,-0.0003767,-0.0001166,-4.93e-05
20000118,-0.0011937,0.0135675,0.0001904,-0.037075,0.0001845,0.0002841,-0.0001797,-0.0003654,-0.0001485,-0.000228,-9.98e-05,-6.92e-05,3.47e-05,-7.11e-05,-0.0001678,-5.89e-05,-0.0001036,-8.82e-05,-0.0001121,-0.0001218,-2.52e-05,-0.0001722,-0.0002409,-2.83e-05,0.0002001,-0.0003901,-0.0002292,0.0004775,6.92e-05,0.0002399,-8.69e-05,-7.28e-05,0.0001682,-4.76e-05,4.2e-06,-2.88e-05,-2.64e-05,-5.64e-05,-0.0001488,-1.85e-05,0.0004677,-2.95e-05,-0.0001387,-0.0002921,4.41e-05,-9.77e-05,-5.8e-06,0.0008814,-0.0003572,-0.0001418,-0.0001044,0.000117,3.19e-05,-0.0001342,1.06e-05,0.0002453,-0.000123,-0.0001665,-0.0001144,0.0001276,-0.0002648,-1.31e-05,-5e-05,3.44e-05,-0.0002133,-0.0001062,0.0009522,-6.98e-05,-0.0001272,-0.0001596,-0.0002637,-0.0001746,-0.0001233,0.0001401,0.0002204,0.0007396,0.0010109,-0.0002469,-0.0001722,-0.0002352,4.39e-05,0.0006488,-0.0003038,-2.94e-05,6e-06,-0.0001829,-0.0001033,0.0002771,-0.0001539,0.0001431,0.0002902,4.37e-05,-0.0001225,-5.83e-05,0.0001217,0.0002418,0.0001106,-0.0007538,-0.0001977,-7.39e-05,-0.0005179,0.0004126,-6.48e-05,0.0001431
